From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	EMBL
A0A829NL13	A0A829NL13	unreviewed	A0A829NL13_RUMGN	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF1201_00367	[Ruminococcus] gnavus CC55_001C	325	HMPREF1201_00367	AZJF01000001;
R5TLQ6	R5TLQ6	unreviewed	R5TLQ6_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	BN481_01900	[Ruminococcus] gnavus CAG:126	176	BN481_01900	CBAL010000032;
A0A2P9HP73	A0A2P9HP73	unreviewed	A0A2P9HP73_9HYPH	Choloylglycine hydrolase (EC 3.5.1.24)	OHAE_1769	[Ochrobactrum] soli	335	OHAE_1769	OOFM01000005;
A0A849KHQ3	A0A849KHQ3	unreviewed	A0A849KHQ3_9HYPH	Linear amide C-N hydrolase	HKX02_13345	[Ochrobactrum] soli	355	HKX02_13345	JABFCY010000008;
A0A248UJQ5	A0A248UJQ5	unreviewed	A0A248UJQ5_9HYPH	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	CES85_1617	[Ochrobactrum] quorumnocens	357	CES85_1617	CP022604;
A0A5N1JR43	A0A5N1JR43	unreviewed	A0A5N1JR43_9HYPH	Choloylglycine hydrolase family protein	F3W84_17620	[Ochrobactrum] quorumnocens	370	F3W84_17620	VYXQ01000019;
A0A5N1JV61	A0A5N1JV61	unreviewed	A0A5N1JV61_9HYPH	Linear amide C-N hydrolase	F3W84_15035	[Ochrobactrum] quorumnocens	382	F3W84_15035	VYXQ01000014;
A0A248UL94	A0A248UL94	unreviewed	A0A248UL94_9HYPH	6-aminopenicillanic acid acyl-transferase family protein	CES85_1623	[Ochrobactrum] quorumnocens	335	CES85_1623	CP022604;
A0A5N1JSR9	A0A5N1JSR9	unreviewed	A0A5N1JSR9_9HYPH	Linear amide C-N hydrolase	F3W84_17595	[Ochrobactrum] quorumnocens	355	F3W84_17595	VYXQ01000019;
A0A1Y3XV55	A0A1Y3XV55	unreviewed	A0A1Y3XV55_9ACTN	Linear amide C-N hydrolase	B5G02_08055	[Collinsella] massiliensis	386	B5G02_08055	NFIE01000018;
A0A1Y3XTF7	A0A1Y3XTF7	unreviewed	A0A1Y3XTF7_9ACTN	Choloylglycine hydrolase	B5G02_04520	[Collinsella] massiliensis	320	B5G02_04520	NFIE01000008;
A0A1M4PMQ7	A0A1M4PMQ7	unreviewed	A0A1M4PMQ7_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	CUESP1_1410	[Clostridium] ultunense Esp	312	CUESP1_1410	LT669839;
E7GNR6	E7GNR6	unreviewed	E7GNR6_CLOSY	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9474_02561	[Clostridium] symbiosum WAL-14163	367	HMPREF9474_02561	ADLQ01000055;
U2D1P9	U2D1P9	unreviewed	U2D1P9_CLOSY	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	CLOSYM_04859	[Clostridium] symbiosum ATCC 14940	367	CLOSYM_04859	AWSU01000391;
A0A928KXD9	A0A928KXD9	unreviewed	A0A928KXD9_9FIRM	Choloylglycine hydrolase family protein	E7512_07350	[Clostridium] sporosphaeroides	332	E7512_07350	SVNY01000003;
B1C4T2	B1C4T2	unreviewed	B1C4T2_9FIRM	Penicillin amidase (EC 3.5.1.11)	CLOSPI_02101	Thomasclavelia spiroformis DSM 1552	338	CLOSPI_02101	ABIK02000015;
C0EDC4	C0EDC4	unreviewed	C0EDC4_9FIRM	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	CLOSTMETH_01851	[Clostridium] methylpentosum DSM 5476	371	CLOSTMETH_01851	ACEC01000061;
A7VQ44	A7VQ44	unreviewed	A7VQ44_9FIRM	Linear amide C-N hydrolase (Penicillin amidase (EC 3.5.1.11))	CH238_09795 CLOLEP_00671	[Clostridium] leptum DSM 753	375	CH238_09795 CLOLEP_00671	ABCB02000014;NOXF01000007;
A7VXC0	A7VXC0	unreviewed	A7VXC0_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	CLOLEP_03243	[Clostridium] leptum DSM 753	223	CLOLEP_03243	ABCB02000020;
A0A855A885	A0A855A885	unreviewed	A0A855A885_9FIRM	Linear amide C-N hydrolase	CH238_01430	[Clostridium] leptum DSM 753	234	CH238_01430	NOXF01000001;
N9WAI4	N9WAI4	unreviewed	N9WAI4_CLOIN	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF1094_04315	[Clostridium] innocuum 2959	318	HMPREF1094_04315	AGYV01000009;
A0A1I0R1L4	A0A1I0R1L4	unreviewed	A0A1I0R1L4_9FIRM	"Linear amide C-N hydrolases, choloylglycine hydrolase family"	SAMN05421659_110125	[Clostridium] fimetarium	349	SAMN05421659_110125	FOJI01000010;
N9XMW9	N9XMW9	unreviewed	N9XMW9_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF1082_00005	[Clostridium] clostridioforme 90A7	361	HMPREF1082_00005	AGYN01000001;
R0B754	R0B754	unreviewed	R0B754_9FIRM	Penicillin amidase	HMPREF1083_04119	[Clostridium] clostridioforme 90A6	337	HMPREF1083_04119	AGYL01000039;
A0A0E2H620	A0A0E2H620	unreviewed	A0A0E2H620_9FIRM	Penicillin amidase	HMPREF1090_03951	[Clostridium] clostridioforme 90A8	337	HMPREF1090_03951	AGYR01000042;
R0B824	R0B824	unreviewed	R0B824_9FIRM	Choloylglycine hydrolase	HMPREF1083_03933	[Clostridium] clostridioforme 90A6	324	HMPREF1083_03933	AGYL01000037;
N9YL57	N9YL57	unreviewed	N9YL57_9FIRM	Penicillin amidase	HMPREF1082_03314	[Clostridium] clostridioforme 90A7	337	HMPREF1082_03314	AGYN01000019;
A0A0J9C348	A0A0J9C348	unreviewed	A0A0J9C348_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9470_02973	[Clostridium] citroniae WAL-19142	364	HMPREF9470_02973	ADLK01000022;
A0A0J9C7D2	A0A0J9C7D2	unreviewed	A0A0J9C7D2_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9470_01881	[Clostridium] citroniae WAL-19142	334	HMPREF9470_01881	ADLK01000017;
G5HTY0	G5HTY0	unreviewed	G5HTY0_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9469_06042	[Clostridium] citroniae WAL-17108	364	HMPREF9469_06042	ADLJ01000058;
G5HHA8	G5HHA8	unreviewed	G5HHA8_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9469_01752	[Clostridium] citroniae WAL-17108	334	HMPREF9469_01752	ADLJ01000014;
A0A2M8Z8J4	A0A2M8Z8J4	unreviewed	A0A2M8Z8J4_9FIRM	Choloylglycine hydrolase	H171_3322	[Clostridium] celerecrescens 18A	321	H171_3322	PGET01000001;
C0DAQ9	C0DAQ9	unreviewed	C0DAQ9_9FIRM	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein (EC 3.5.1.-)"	CLOSTASPAR_06364	[Clostridium] asparagiforme DSM 15981	331	CLOSTASPAR_06364	ACCJ01000539;
B7AVX6	B7AVX6	unreviewed	B7AVX6_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	BACPEC_02876	[Bacteroides] pectinophilus ATCC 43243	334	BACPEC_02876	ABVQ01000037;
B7AU47	B7AU47	unreviewed	B7AU47_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	BACPEC_02235	[Bacteroides] pectinophilus ATCC 43243	329	BACPEC_02235	ABVQ01000037;
A0A853NW35	A0A853NW35	unreviewed	A0A853NW35_9BACT	Choloylglycine hydrolase (EC 3.5.1.24)	cbh AAW30_01460	[Arcobacter] porcinus	348	AAW30_01460	LCSL01000005;
A0A953N7G9	A0A953N7G9	unreviewed	A0A953N7G9_9BURK	Choloylglycine hydrolase family protein	KZZ10_06490	Zwartia hollandica	352	KZZ10_06490	JAHXRI010000006;
A0A4Y4D0S2	A0A4Y4D0S2	unreviewed	A0A4Y4D0S2_ZOORA	Choloylglycine hydrolase	ZRA01_36220	Zoogloea ramigera	349	ZRA01_36220	BJNV01000097;
A0A926EDL0	A0A926EDL0	unreviewed	A0A926EDL0_9FIRM	Choloylglycine hydrolase family protein	H8709_04935	Zongyangia hominis	321	H8709_04935	JACRTC010000002;
A0A291HV55	A0A291HV55	unreviewed	A0A291HV55_9GAMM	Choloylglycine hydrolase	AN401_18050	Zobellella denitrificans	315	AN401_18050	CP012621;
A0A231MTX5	A0A231MTX5	unreviewed	A0A231MTX5_9GAMM	Choloylglycine hydrolase	CGX12_18530	Zobellella denitrificans	359	CGX12_18530	NMUO01000141;
A0A926EME8	A0A926EME8	unreviewed	A0A926EME8_9FIRM	Linear amide C-N hydrolase	H8718_14500	Zhenhengia yiwuensis	357	H8718_14500	JACRSY010000026;
A0A926IEI1	A0A926IEI1	unreviewed	A0A926IEI1_9FIRM	Choloylglycine hydrolase family protein	H8718_08615	Zhenhengia yiwuensis	329	H8718_08615	JACRSY010000011;
A0A0U1HQI3	A0A0U1HQI3	unreviewed	A0A0U1HQI3_YERRO	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008555_01153	Yersinia rohdei	357	ERS008555_01153	CTKE01000005;
A0A0U1HXN3	A0A0U1HXN3	unreviewed	A0A0U1HXN3_YERRO	Choloylglycine hydrolase (EC 3.5.1.24)	cbh ERS008555_03658	Yersinia rohdei	362	ERS008555_03658	CTKE01000024;
A0A386HHR5	A0A386HHR5	unreviewed	A0A386HHR5_9GAMM	Linear amide C-N hydrolase	DXZ79_16615	Yersinia rochesterensis	357	DXZ79_16615	CP032482;
A0A0T9KPI6	A0A0T9KPI6	unreviewed	A0A0T9KPI6_9GAMM	Choloylglycine hydrolase (EC 3.5.1.24)	cbh ERS137967_00972	Yersinia nurmii	356	ERS137967_00972	CPYD01000002;
A0A0T9Q0W7	A0A0T9Q0W7	unreviewed	A0A0T9Q0W7_9GAMM	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008670_01952	Yersinia massiliensis	357	ERS008670_01952	CQBH01000004;
A0A2R4NMT5	A0A2R4NMT5	unreviewed	A0A2R4NMT5_9GAMM	Linear amide C-N hydrolase	DA391_06815	Yersinia massiliensis	357	DA391_06815	CP028487;
A0A0T9L4Y4	A0A0T9L4Y4	unreviewed	A0A0T9L4Y4_YERKR	Choloylglycine hydrolase (EC 3.5.1.11) (Linear amide C-N hydrolase)	CRM81_17430 ERS008491_01624	Yersinia kristensenii	357	CRM81_17430 ERS008491_01624	CPYI01000005;PDEI01000001;
A0A0T9NFZ1	A0A0T9NFZ1	unreviewed	A0A0T9NFZ1_YERKR	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008472_00443	Yersinia kristensenii	353	ERS008472_00443	CQAW01000001;
A0A208ZPL2	A0A208ZPL2	unreviewed	A0A208ZPL2_YERIN	Choloylglycine hydrolase	CBW57_20650	Yersinia intermedia	357	CBW57_20650	NHOI01000037;
A0A0H5LXP1	A0A0H5LXP1	unreviewed	A0A0H5LXP1_YERIN	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008476_02960	Yersinia intermedia	357	ERS008476_02960	CWJI01000009;
A0A0T9LY42	A0A0T9LY42	unreviewed	A0A0T9LY42_YERIN	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008530_01039	Yersinia intermedia	357	ERS008530_01039	CPZJ01000003;
A0A481QJ15	A0A481QJ15	unreviewed	A0A481QJ15_9GAMM	Linear amide C-N hydrolase	D5F51_18880	Yersinia hibernica	357	D5F51_18880	CP032487;
A0A0T9T737	A0A0T9T737	unreviewed	A0A0T9T737_YERFR	Choloylglycine hydrolase (EC 3.5.1.11)	ERS008501_00421	Yersinia frederiksenii	357	ERS008501_00421	CQEN01000001;
A0A209B0V9	A0A209B0V9	unreviewed	A0A209B0V9_YERFR	Choloylglycine hydrolase	CBW53_04070	Yersinia frederiksenii	357	CBW53_04070	NHOJ01000006;
A0A0H3NRG9	A0A0H3NRG9	unreviewed	A0A0H3NRG9_YERE1	Choloylglycine hydrolase	Y11_23571	Yersinia enterocolitica subsp. palearctica serotype O:3 (strain DSM 13030 / CIP 106945 / Y11)	357		FR729477;
F4MX09	F4MX09	unreviewed	F4MX09_YEREN	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	YEW_JP41070	Yersinia enterocolitica W22703	112	YEW_JP41070	FR718525;
F4MU77	F4MU77	unreviewed	F4MU77_YEREN	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	YEW_KB43510	Yersinia enterocolitica W22703	357	YEW_KB43510	FR718493;
A0A7U7FY47	A0A7U7FY47	unreviewed	A0A7U7FY47_YEREN	Putative exported carbon-nitrogen hydrolase	YE3094_08231	Yersinia enterocolitica (type O:2) str. YE3094/96	357	YE3094_08231	HF933426;
A0A7U7FJT0	A0A7U7FJT0	unreviewed	A0A7U7FJT0_YEREN	Putative exported carbon-nitrogen hydrolase	YE14902_32191	"Yersinia enterocolitica (type O:5,27) str. YE149/02"	357	YE14902_32191	HF933424;
A0A0H5H6W0	A0A0H5H6W0	unreviewed	A0A0H5H6W0_YEREN	Penicillin V acylase and related amidases	ERS137941_01043	Yersinia enterocolitica	112	ERS137941_01043	CGBR01000005;
A0A0H5G2A2	A0A0H5G2A2	unreviewed	A0A0H5G2A2_YEREN	Choloylglycine hydrolase (EC 3.5.1.11)	ERS137941_00485	Yersinia enterocolitica	357	ERS137941_00485	CGBR01000002;
A0A7T9XRF9	A0A7T9XRF9	unreviewed	A0A7T9XRF9_YEREN	Linear amide C-N hydrolase	I6I39_12015	Yersinia enterocolitica	357	I6I39_12015	CP068146;
A0A7T9XSZ1	A0A7T9XSZ1	unreviewed	A0A7T9XSZ1_YEREN	Linear amide C-N hydrolase	I6I39_16640	Yersinia enterocolitica	112	I6I39_16640	CP068146;
A0A857EZD9	A0A857EZD9	unreviewed	A0A857EZD9_9GAMM	Linear amide C-N hydrolase	F0T03_07980	Yersinia canariae	362	F0T03_07980	CP043727;
A0A2G4TZ75	A0A2G4TZ75	unreviewed	A0A2G4TZ75_YERBE	Linear amide C-N hydrolase	CS533_19505	Yersinia bercovieri	353	CS533_19505	PEHN01000040;
A0A0T9UPL1	A0A0T9UPL1	unreviewed	A0A0T9UPL1_YERAL	Choloylglycine hydrolase (EC 3.5.1.24)	cbh ERS137965_03466	Yersinia aldovae	317	ERS137965_03466	CQEJ01000023;
A0A2A3JYZ0	A0A2A3JYZ0	unreviewed	A0A2A3JYZ0_9RHOB	Choloylglycine hydrolase	CLG85_07990	Yangia mangrovi	358	CLG85_07990	NTHN01000105;
A0A3P5WT70	A0A3P5WT70	unreviewed	A0A3P5WT70_9RHOB	Choloylglycine hydrolase (EC 3.5.1.24)	cbh XINFAN_01309	Xinfangfangia humi	348	XINFAN_01309	UXAW01000051;
A0A1Y2SAF2	A0A1Y2SAF2	unreviewed	A0A1Y2SAF2_9GAMM	Choloylglycine hydrolase	Xvie_02517	Xenorhabdus vietnamensis	102	Xvie_02517	MUBJ01000013;
W1J122	W1J122	unreviewed	W1J122_9GAMM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	XSR1_320042	Xenorhabdus szentirmaii DSM 16338	336	XSR1_320042	CBXF010000091;
A0A2D0JN17	A0A2D0JN17	unreviewed	A0A2D0JN17_9GAMM	Choloylglycine hydrolase	Xmir_03034	Xenorhabdus miraniensis	336	Xmir_03034	NITZ01000016;
A0A2G0Q719	A0A2G0Q719	unreviewed	A0A2G0Q719_9GAMM	Choloylglycine hydrolase	Xhom_02966	Xenorhabdus hominickii	336	Xhom_02966	NJAI01000004;
A0A8I0HBV3	A0A8I0HBV3	unreviewed	A0A8I0HBV3_XANCI	Linear amide C-N hydrolase	GUH15_27930	Xanthomonas citri pv. citri	78	GUH15_27930	JAABFR010002373;
A0A3L7A2Z7	A0A3L7A2Z7	unreviewed	A0A3L7A2Z7_9HYPH	Linear amide C-N hydrolase	D9R14_18660	Xanthobacter tagetidis	371	D9R14_18660	RCTF01000019;
A0A3L7AQX3	A0A3L7AQX3	unreviewed	A0A3L7AQX3_9HYPH	Linear amide C-N hydrolase	D9R14_02410	Xanthobacter tagetidis	373	D9R14_02410	RCTF01000001;
A0A3L7AIA7	A0A3L7AIA7	unreviewed	A0A3L7AIA7_9HYPH	Linear amide C-N hydrolase	D9R14_06305	Xanthobacter tagetidis	365	D9R14_06305	RCTF01000004;
A0A974PTP6	A0A974PTP6	unreviewed	A0A974PTP6_9HYPH	Linear amide C-N hydrolase	EZH22_06815	Xanthobacter dioxanivorans	356	EZH22_06815	CP063362;
A0A974PRY3	A0A974PRY3	unreviewed	A0A974PRY3_9HYPH	Linear amide C-N hydrolase	EZH22_08975	Xanthobacter dioxanivorans	371	EZH22_08975	CP063362;
A7IHW4	A7IHW4	unreviewed	A7IHW4_XANP2	Choloylglycine hydrolase (EC 3.5.1.24)	Xaut_2364	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	368		CP000781;
A7ING1	A7ING1	unreviewed	A7ING1_XANP2	Choloylglycine hydrolase	Xaut_4334	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	341		CP000781;
A7IH78	A7IH78	unreviewed	A7IH78_XANP2	Choloylglycine hydrolase	Xaut_2127	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	427		CP000781;
A0A6C1KVB6	A0A6C1KVB6	unreviewed	A0A6C1KVB6_XANAU	Linear amide C-N hydrolase	FBQ73_11535	Xanthobacter autotrophicus	378	FBQ73_11535	VAUP01000022;
A0A6C1KDQ8	A0A6C1KDQ8	unreviewed	A0A6C1KDQ8_XANAU	Linear amide C-N hydrolase	FBQ73_14335	Xanthobacter autotrophicus	427	FBQ73_14335	VAUP01000031;
A0A6C1KR03	A0A6C1KR03	unreviewed	A0A6C1KR03_XANAU	Choloylglycine hydrolase family protein	FBQ73_15855	Xanthobacter autotrophicus	368	FBQ73_15855	VAUP01000031;
A0A7G9FK20	A0A7G9FK20	unreviewed	A0A7G9FK20_9FIRM	Choloylglycine hydrolase family protein	H9Q76_09090	Wujia chipingensis	325	H9Q76_09090	CP060632;
A0A7G9FKY2	A0A7G9FKY2	unreviewed	A0A7G9FKY2_9FIRM	Choloylglycine hydrolase family protein	H9Q76_10825	Wujia chipingensis	324	H9Q76_10825	CP060632;
A0A256CK32	A0A256CK32	unreviewed	A0A256CK32_9GAMM	Linear amide C-N hydrolase	B9T13_07025	Wohlfahrtiimonas chitiniclastica	359	B9T13_07025	NEFC01000003;
A0A162URI7	A0A162URI7	unreviewed	A0A162URI7_9GAMM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	BMY_1021	Wohlfahrtiimonas chitiniclastica	397	BMY_1021	LVXD01000001;
L8XZS5	L8XZS5	unreviewed	L8XZS5_9GAMM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	F387_00493	Wohlfahrtiimonas chitiniclastica SH04	359	F387_00493	AOBV01000006;
A0A265UXW3	A0A265UXW3	unreviewed	A0A265UXW3_9FLAO	Choloylglycine hydrolase	CA834_05690	Winogradskyella aurantia	355	CA834_05690	NGJN01000002;
A0A845V5M3	A0A845V5M3	unreviewed	A0A845V5M3_9GAMM	Linear amide C-N hydrolase	G3I74_07170	Wenzhouxiangella limi	383	G3I74_07170	JAAGSC010000040;
A0A3P2RA54	A0A3P2RA54	unreviewed	A0A3P2RA54_WEIVI	Linear amide C-N hydrolase	D3P96_06860	Weissella viridescens (Lactobacillus viridescens)	344	D3P96_06860	RHGY01000007;
G0UE95	G0UE95	unreviewed	G0UE95_9LACO	Choloylglycine hydrolase	WT2_00026	Weissella thailandensis fsh4-2	325	WT2_00026	HE575135;
A0A512PW73	A0A512PW73	unreviewed	A0A512PW73_9LACO	Linear amide C-N hydrolase	HF968_09120	Weissella thailandensis	325	HF968_09120	JAAXPK010000018;
A0A921SQC3	A0A921SQC3	unreviewed	A0A921SQC3_9LACO	Linear amide C-N hydrolase	K8V21_03095	Weissella thailandensis	325	K8V21_03095	DYUH01000055;
A0A4V2EKM2	A0A4V2EKM2	unreviewed	A0A4V2EKM2_WEIPA	Linear amide C-N hydrolase	EWR19_05620	Weissella paramesenteroides (Leuconostoc paramesenteroides)	325	EWR19_05620	SGAX01000001;
A0A5M9EI35	A0A5M9EI35	unreviewed	A0A5M9EI35_WEIPA	Linear amide C-N hydrolase	FKV74_07080	Weissella paramesenteroides (Leuconostoc paramesenteroides)	325	FKV74_07080	VHPE01000007;
A0A5M9DPE8	A0A5M9DPE8	unreviewed	A0A5M9DPE8_WEIPA	Linear amide C-N hydrolase	FKV73_01595	Weissella paramesenteroides (Leuconostoc paramesenteroides)	325	FKV73_01595	VHPB01000003;
C5R7S2	C5R7S2	unreviewed	C5R7S2_WEIPA	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein (EC 3.5.1.-)"	HMPREF0877_0017	Weissella paramesenteroides ATCC 33313	325	HMPREF0877_0017	ACKU01000002;
A0A069CW80	A0A069CW80	unreviewed	A0A069CW80_WEIOS	Penicillin acylase	WOSG25_120390	Weissella oryzae (strain DSM 25784 / JCM 18191 / LMG 30913 / SG25)	296	WOSG25_120390	DF820495;
A0A6C2CA49	A0A6C2CA49	unreviewed	A0A6C2CA49_9LACO	Choloylglycine hydrolase family protein	ESZ50_02660	Weissella muntiaci	298	ESZ50_02660	SDGZ01000009;
A0A6C2C2P9	A0A6C2C2P9	unreviewed	A0A6C2C2P9_9LACO	Choloylglycine hydrolase family protein	ESZ50_11450	Weissella muntiaci	337	ESZ50_11450	SDGZ01000034;
A0A0R2JHY1	A0A0R2JHY1	unreviewed	A0A0R2JHY1_9LACO	Penicillin acylase	IV67_GL000447	Weissella minor	326	IV67_GL000447	JQCD01000024;
A0A7H1MLX4	A0A7H1MLX4	unreviewed	A0A7H1MLX4_9LACO	Linear amide C-N hydrolase	FY536_03860	Weissella koreensis	298	FY536_03860	CP043431;
A0A7H1MMK5	A0A7H1MMK5	unreviewed	A0A7H1MMK5_9LACO	Linear amide C-N hydrolase	FY536_05205	Weissella koreensis	347	FY536_05205	CP043431;
A0A0R2JKX7	A0A0R2JKX7	unreviewed	A0A0R2JKX7_9LACO	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	IV73_GL000586	Weissella kandleri	347	IV73_GL000586	JQBP01000002;
A0A0R2JIC6	A0A0R2JIC6	unreviewed	A0A0R2JIC6_9LACO	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	IV73_GL000336	Weissella kandleri	297	IV73_GL000336	JQBP01000010;
A0A1L6RA67	A0A1L6RA67	unreviewed	A0A1L6RA67_9LACO	Choloylglycine hydrolase	FOL01_0529	Weissella jogaejeotgali	325	FOL01_0529	CP014332;
A0A5B8TSR4	A0A5B8TSR4	unreviewed	A0A5B8TSR4_WEIHE	Linear amide C-N hydrolase	FGL75_05840	Weissella hellenica	325	FGL75_05840	CP042399;
A0A4Y4G5V1	A0A4Y4G5V1	unreviewed	A0A4Y4G5V1_WEIHE	Linear amide C-N hydrolase	HF960_05440	Weissella hellenica	325	HF960_05440	JAAXPM010000007;
A0A0R2FQH1	A0A0R2FQH1	unreviewed	A0A0R2FQH1_9LACO	Penicillin V acylase	IV68_GL001210	Weissella halotolerans DSM 20190	336	IV68_GL001210	JQAX01000005;
A0A6G8B1H1	A0A6G8B1H1	unreviewed	A0A6G8B1H1_9LACO	Linear amide C-N hydrolase	G7084_07025	Weissella coleopterorum	347	G7084_07025	CP049888;
A0A075TZ28	A0A075TZ28	unreviewed	A0A075TZ28_9LACO	Penicillin acylase	WS74_0522	Weissella ceti	341	WS74_0522	CP009223;
A0A1C4AU17	A0A1C4AU17	unreviewed	A0A1C4AU17_9LACO	Choloylglycine hydrolase	GA0061074_10716	Weissella bombi	325	GA0061074_10716	FMAO01000007;
A0A6L5YJV9	A0A6L5YJV9	unreviewed	A0A6L5YJV9_9FIRM	Choloylglycine hydrolase family protein	FYJ59_10680	Waltera intestinalis	333	FYJ59_10680	VUMU01000014;
F8LCP9	F8LCP9	unreviewed	F8LCP9_9BACT	Penicillin acylase (EC 3.5.1.11)	WCH_CZ17920	Waddlia chondrophila 2032/99	289	WCH_CZ17920	FR872652;
D6YUT1	D6YUT1	unreviewed	D6YUT1_WADCW	Penicillin acylase (EC 3.5.1.11)	wcw_0521	Waddlia chondrophila (strain ATCC VR-1470 / WSU 86-1044)	325		CP001928;
A0A8J3ZI13	A0A8J3ZI13	unreviewed	A0A8J3ZI13_9ACTN	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	Vau01_093090	Virgisporangium aurantiacum	348	Vau01_093090	BOPG01000071;
A0A5C8P7A0	A0A5C8P7A0	unreviewed	A0A5C8P7A0_9HYPH	Linear amide C-N hydrolase	FHP25_38410	Vineibacter terrae	353	FHP25_38410	VDUZ01000078;
A0A4Q7I3C8	A0A4Q7I3C8	unreviewed	A0A4Q7I3C8_VIBVL	Linear amide C-N hydrolase	D8T65_21045	Vibrio vulnificus	370	D8T65_21045	RBZL01000023;
A0A4Q7HU24	A0A4Q7HU24	unreviewed	A0A4Q7HU24_VIBVL	Linear amide C-N hydrolase	D8T54_23725	Vibrio vulnificus	323	D8T54_23725	RBZH01000096;
